Current Intensity,Argon Gas Flow Rate,Hydrogen Flow Rate,Argon Carrier Gas Flow Rate,Injector Stand-off Distance,Injector Distance,Average Particle Velocity,Average Particle Temperature,Average Particle Diameter
303,40,14,3.2,6,1.8,232,2212,40
308,40,14,3.2,6,1.8,233,2218,40
314,40,14,3.2,6,1.8,234,2224,41
319,40,14,3.2,6,1.8,235,2229,41
324,40,14,3.2,6,1.8,237,2235,41
330,40,14,3.2,6,1.8,238,2240,42
335,40,14,3.2,6,1.8,239,2246,42
341,40,14,3.2,6,1.8,240,2251,42
346,40,14,3.2,6,1.8,241,2257,43
351,40,14,3.2,6,1.8,242,2262,43
357,40,14,3.2,6,1.8,243,2267,43
362,40,14,3.2,6,1.8,244,2273,44
367,40,14,3.2,6,1.8,245,2278,44
373,40,14,3.2,6,1.8,246,2283,44
378,40,14,3.2,6,1.8,247,2288,45
384,40,14,3.2,6,1.8,248,2293,45
389,40,14,3.2,6,1.8,249,2298,45
394,40,14,3.2,6,1.8,250,2303,46
400,40,14,3.2,6,1.8,251,2308,46
405,40,14,3.2,6,1.8,252,2312,46
410,40,14,3.2,6,1.8,253,2317,46
416,40,14,3.2,6,1.8,254,2322,47
421,40,14,3.2,6,1.8,255,2326,47
427,40,14,3.2,6,1.8,256,2331,47
432,40,14,3.2,6,1.8,257,2335,47
437,40,14,3.2,6,1.8,258,2339,48
443,40,14,3.2,6,1.8,258,2343,48
448,40,14,3.2,6,1.8,259,2348,48
453,40,14,3.2,6,1.8,260,2352,48
459,40,14,3.2,6,1.8,261,2356,49
464,40,14,3.2,6,1.8,262,2359,49
469,40,14,3.2,6,1.8,263,2363,49
475,40,14,3.2,6,1.8,263,2367,49
480,40,14,3.2,6,1.8,264,2371,50
486,40,14,3.2,6,1.8,265,2374,50
491,40,14,3.2,6,1.8,265,2378,50
496,40,14,3.2,6,1.8,266,2381,50
502,40,14,3.2,6,1.8,267,2384,50
507,40,14,3.2,6,1.8,268,2387,50
512,40,14,3.2,6,1.8,268,2390,51
518,40,14,3.2,6,1.8,269,2393,51
523,40,14,3.2,6,1.8,269,2396,51
529,40,14,3.2,6,1.8,270,2399,51
534,40,14,3.2,6,1.8,271,2402,51
539,40,14,3.2,6,1.8,271,2404,51
545,40,14,3.2,6,1.8,272,2407,51
550,40,14,3.2,6,1.8,272,2409,51
555,40,14,3.2,6,1.8,273,2411,52
561,40,14,3.2,6,1.8,273,2414,52
566,40,14,3.2,6,1.8,274,2416,52
572,40,14,3.2,6,1.8,274,2418,52
577,40,14,3.2,6,1.8,274,2420,52
582,40,14,3.2,6,1.8,275,2421,52
588,40,14,3.2,6,1.8,275,2423,52
593,40,14,3.2,6,1.8,276,2425,52
598,40,14,3.2,6,1.8,276,2426,52
604,40,14,3.2,6,1.8,276,2427,52
609,40,14,3.2,6,1.8,277,2429,52
614,40,14,3.2,6,1.8,277,2430,52
620,40,14,3.2,6,1.8,277,2431,52
625,40,14,3.2,6,1.8,277,2432,52
631,40,14,3.2,6,1.8,278,2433,52
636,40,14,3.2,6,1.8,278,2434,52
641,40,14,3.2,6,1.8,278,2434,52
647,40,14,3.2,6,1.8,278,2435,52
652,40,14,3.2,6,1.8,278,2435,52
657,40,14,3.2,6,1.8,278,2436,52
663,40,14,3.2,6,1.8,279,2436,52
668,40,14,3.2,6,1.8,279,2436,52
674,40,14,3.2,6,1.8,279,2436,52
679,40,14,3.2,6,1.8,279,2436,52
684,40,14,3.2,6,1.8,279,2436,52
690,40,14,3.2,6,1.8,279,2436,51
695,40,14,3.2,6,1.8,279,2436,51
700,40,14,3.2,6,1.8,279,2435,51
706,40,14,3.2,6,1.8,279,2435,51
711,40,14,3.2,6,1.8,279,2434,51
716,40,14,3.2,6,1.8,279,2434,51
722,40,14,3.2,6,1.8,279,2433,51
727,40,14,3.2,6,1.8,279,2432,51
733,40,14,3.2,6,1.8,278,2431,50
738,40,14,3.2,6,1.8,278,2430,50
743,40,14,3.2,6,1.8,278,2429,50
749,40,14,3.2,6,1.8,278,2428,50
754,40,14,3.2,6,1.8,278,2427,50
759,40,14,3.2,6,1.8,278,2425,50
765,40,14,3.2,6,1.8,277,2424,49
770,40,14,3.2,6,1.8,277,2423,49
776,40,14,3.2,6,1.8,277,2421,49
781,40,14,3.2,6,1.8,277,2420,49
786,40,14,3.2,6,1.8,276,2418,49
792,40,14,3.2,6,1.8,276,2416,49
797,40,14,3.2,6,1.8,276,2414,48
802,40,14,3.2,6,1.8,276,2412,48
808,40,14,3.2,6,1.8,275,2411,48
813,40,14,3.2,6,1.8,275,2409,48
819,40,14,3.2,6,1.8,275,2407,47
824,40,14,3.2,6,1.8,274,2404,47
829,40,14,3.2,6,1.8,274,2402,47
835,40,14,3.2,6,1.8,274,2400,47
840,40,14,3.2,6,1.8,273,2398,47
530,40,0,3.2,6,1.8,205,1675,30
530,40,0.2,3.2,6,1.8,207,1703,30
530,40,0.3,3.2,6,1.8,209,1730,31
530,40,0.5,3.2,6,1.8,210,1756,31
530,40,0.7,3.2,6,1.8,212,1782,31
530,40,0.9,3.2,6,1.8,214,1807,32
530,40,1,3.2,6,1.8,215,1832,32
530,40,1.2,3.2,6,1.8,217,1856,32
530,40,1.4,3.2,6,1.8,219,1879,33
530,40,1.5,3.2,6,1.8,220,1901,33
530,40,1.7,3.2,6,1.8,222,1923,33
530,40,1.9,3.2,6,1.8,223,1945,34
530,40,2,3.2,6,1.8,225,1965,34
530,40,2.2,3.2,6,1.8,226,1985,34
530,40,2.4,3.2,6,1.8,228,2005,35
530,40,2.6,3.2,6,1.8,229,2024,35
530,40,2.7,3.2,6,1.8,231,2042,35
530,40,2.9,3.2,6,1.8,232,2060,36
530,40,3.1,3.2,6,1.8,234,2077,36
530,40,3.2,3.2,6,1.8,235,2094,36
530,40,3.4,3.2,6,1.8,236,2110,37
530,40,3.6,3.2,6,1.8,237,2125,37
530,40,3.7,3.2,6,1.8,239,2140,37
530,40,3.9,3.2,6,1.8,240,2154,38
530,40,4.1,3.2,6,1.8,241,2168,38
530,40,4.3,3.2,6,1.8,242,2182,38
530,40,4.4,3.2,6,1.8,243,2194,39
530,40,4.6,3.2,6,1.8,244,2206,39
530,40,4.8,3.2,6,1.8,245,2218,39
530,40,4.9,3.2,6,1.8,246,2229,40
530,40,5.1,3.2,6,1.8,247,2240,40
530,40,5.3,3.2,6,1.8,248,2250,40
530,40,5.4,3.2,6,1.8,249,2260,41
530,40,5.6,3.2,6,1.8,250,2269,41
530,40,5.8,3.2,6,1.8,251,2278,41
